Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,101,174,2172,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,WDS250G2B0C,WD,Blue SN550 NVMe PCIe M.2 250GB,102,173,1785,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,103,171,7627,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,104,170,1336,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,105,168,8656,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,106,165,1729,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,107,165,10190,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,108,164,4729,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,109,163,646,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,110,163,818,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,111,161,2580,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,112,161,136,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,113,161,64891,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,,Apple,SM0512G PCIe 500GB,114,160,851,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,115,159,4652,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,116,159,1165,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,117,158,5859,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,118,155,1931,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,119,155,113,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,120,154,1730,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,121,153,1404,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,122,152,1031,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,123,151,1216,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,124,151,11744,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,125,151,8439,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,,Apple,SM0256G PCIe 251GB,126,151,578,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,127,147,38,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,128,146,448,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,129,145,142,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,129,145,142,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,129,145,142,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,130,145,1226,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,131,144,1567,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,132,144,1525,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,133,144,92,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,133,144,92,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,133,144,92,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,134,143,20351,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,135,142,595,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,136,140,377,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,137,139,1070,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,138,138,997,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,139,137,1871,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,140,137,268,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,140,137,268,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,140,137,268,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,141,137,5100,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
